id,question,value,section,type,subtype,self_or_others,q_condensed,q_word,q_id
1,I believe people will carry masks and/or hand sanitizer around with them as a precaution.,3,Survey,Social-Cultural,Hygiene,1,Carry Masks (O),Carry Masks ,16
1,I will carry a mask and/or hand sanitizer around with me as a precaution.,2,Survey,Social-Cultural,Hygiene,2,Carry Masks (I),Carry Masks ,16
1,I believe people will be ____ globally aware (e.g. feel the importance of global connections and cooperation).,4,Survey,Social-Cultural,Cooperation,1,Globally Aware (O),Globally Aware ,17
1,I will be ____ globally aware (e.g. feel the importance of global connections and cooperation).,5,Survey,Social-Cultural,Cooperation,2,Globally Aware (I),Globally Aware ,17
1,I believe people will value classroom education ____.,3,Survey,Cultural,Education,1,Classroom Ed (O),Classroom Ed ,18
1,I will value classroom education ____.,3,Survey,Cultural,Education,2,Classroom Ed (I),Classroom Ed ,18
1,I believe people will pursue relationships or intimate interactions online or via technology ____.,3,Survey,Social-Cultural,Lifestyle,1,Relationships (O),Relationships ,19
1,I will pursue relationships or intimate interactions online or via technology ____.,2,Survey,Social-Cultural,Lifestyle,2,Relationships (I),Relationships ,19
1,I believe people will travel ____.,3,Survey,Social-Cultural,Transportation,1,Travel (O),Travel ,20
1,I will travel ____.,2,Survey,Social-Cultural,Transportation,2,Travel (I),Travel ,20
1,I believe people will touch their faces ____.,2,Survey,Social-Cultural,Hygiene,1,Touch Face (O),Touch Face ,21
1,I will touch my face ____.,2,Survey,Social-Cultural,Hygiene,2,Touch Face (I),Touch Face ,21
1,"I believe people will practice safer hygiene in public (e.g. properly covering coughs/sneezes, staying home if sick).",4,Survey,Social-Cultural,Hygiene,1,Public Hygiene (O),Public Hygiene ,22
1,"I will practice safer hygiene in public (e.g. properly covering coughs/sneezes, staying home if sick).",4,Survey,Social-Cultural,Hygiene,2,Public Hygiene (I),Public Hygiene ,22
1,"I believe people will feel more comfortable reminding others about safe public hygiene (e.g. covering cough, not touching face).",3,Survey,Social-Cultural,Hygiene,1,Remind Others (O),Remind Others ,23
1,"I will feel more comfortable reminding others about safe public hygiene (e.g. covering cough, not touching face).",3,Survey,Social-Cultural,Hygiene,2,Remind Others (I),Remind Others ,23
1,I believe people will be ____ trustful of medical professionals.,3,Survey,Policy,Health,1,Trust Doctors (O),Trust Doctors ,24
1,I will be ____ trustful of medical professionals.,3,Survey,Policy,Health,2,Trust Doctors (I),Trust Doctors ,24
1,I believe people will have ____ trust in vaccines.,3,Survey,Policy,Health,1,Trust Vaccines (O),Trust Vaccines ,25
1,I will have ____ trust in vaccines.,3,Survey,Policy,Health,2,Trust Vaccines (I),Trust Vaccines ,25
1,"I believe people will do ____ to maintain their personal wellness (e.g. eat healthfully, exercise, practice work-life balance).",3,Survey,Cultural,Well-being,1,Wellness (O),Wellness ,26
1,"I will do ____ to maintain my personal wellness (e.g. eat healthfully, exercise, practice work-life balance).",4,Survey,Cultural,Well-being,2,Wellness (I),Wellness ,26
1,I believe people will practice ____ hygiene during annual flu seasons.,4,Survey,Social-Cultural,Hygiene,1,Flu Season (O),Flu Season ,27
1,I will practice ______ hygiene during annual flu seasons.,5,Survey,Social-Cultural,Hygiene,2,Flu Season (I),Flu Season ,27
1,I believe people will have ____ trust in their government.,2,Survey,Political,-,1,Trust Gov (O),Trust Gov ,28
1,I will have ____ trust in my government.,3,Survey,Political,-,2,Trust Gov (I),Trust Gov ,28
1,I see myself as introverted or reserved.,4,Closing,General,-,2,Introverted,NA,29
1,I see myself as extroverted or outgoing.,4,Closing,General,-,2,Extroverted,NA,29
1,The COVID-19 pandemic has greatly affected my daily life.,3,Closing,General,-,2,Greatly Affected Me,NA,30
1,The COVID-19 pandemic has greatly affected those closest to me (can include friends and family).,3,Closing,General,-,1,Greatly Affected Closest,NA,30
1,"(Optional) If you would like, please share how the COVID-19 pandemic has personally affected you.",NA,Closing,General,-,2,Optional (1),NA,31
1,(Optional) What's the first thing you will do once quarantine is fully lifted and there is no risk of another wave of infection?,NA,Closing,General,-,2,Optional (2),NA,31
2,I believe people will return to using hand shakes and/or other physical greetings.,2,Survey,Social-Cultural,Hygiene,1,Hand Shakes (O),Hand Shakes ,1
2,I will return to using hand shakes and/or other physical greetings.,2,Survey,Social-Cultural,Hygiene,2,Hand Shakes (I),Hand Shakes ,1
2,"Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I believe people will be more climate conscious.",3,Survey,Policy,Climate,1,Climate Conscious (O),Climate Conscious ,2
2,"Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I will be more climate conscious.",5,Survey,Policy,Climate,2,Climate Conscious (I),Climate Conscious ,2
2,"I believe people will practice healthier digital habits (e.g. screen time limits, responsible online discourse).",1,Survey,Cultural,Well-being,1,Digital Habits (O),Digital Habits ,3
2,"I will practice healthier digital habits (e.g. screen time limits, responsible online discourse).",1,Survey,Cultural,Well-being,2,Digital Habits (I),Digital Habits ,3
2,"I believe people will avoid crowded areas more (e.g. concerts, theme parks).",4,Survey,Social-Cultural,Lifestyle,1,Avoid Crowds (O),Avoid Crowds ,4
2,"I will avoid crowded areas more (e.g. concerts, theme parks).",4,Survey,Social-Cultural,Lifestyle,2,Avoid Crowds (I),Avoid Crowds ,4
2,"I believe people will use public transportation less, if possible.",4,Survey,Social-Cultural,Transportation,1,Public Transport (O),Public Transport ,5
2,"I will use public transportation less, if possible.",4,Survey,Social-Cultural,Transportation,2,Public Transport (I),Public Transport ,5
2,"I believe people will save money more, rather than spend it.",1,Survey,Social-Cultural,Lifestyle,1,Save Money (O),Save Money ,6
2,"I will save money more, rather than spend it.",2,Survey,Social-Cultural,Lifestyle,2,Save Money (I),Save Money ,6
2,I believe people will think more before making impulsive purchases.,1,Survey,Social-Cultural,Lifestyle,1,Impulse Buy (O),Impulse Buy ,7
2,I will think more before making impulsive purchases.,5,Survey,Social-Cultural,Lifestyle,2,Impulse Buy (I),Impulse Buy ,7
2,I believe people will work harder to foster family and/or community ties.,5,Survey,Cultural,Well-being,1,Fam/Comm Ties (O),Fam/Comm Ties ,8
2,I will work harder to foster family and/or community ties.,5,Survey,Cultural,Well-being,2,Fam/Comm Ties (I),Fam/Comm Ties ,8
2,I believe people will seek out more evidence-based information.,1,Survey,Policy,Science,1,Evidence-Based Info (O),Evidence-Based Info ,9
2,I will seek out more evidence-based information.,1,Survey,Policy,Science,2,Evidence-Based Info (I),Evidence-Based Info ,9
2,"I believe people will be more comfortable acting independently (e.g. spending time alone, practicing personal hobbies or at-home activities).",2,Survey,Cultural,Well-being,1,Independent (O),Independent ,10
2,"I will be more comfortable acting independently (e.g. spending time alone, practicing personal hobbies or at-home activities).",2,Survey,Cultural,Well-being,2,Independent (I),Independent ,10
2,"I believe people will work more remotely, if possible.",5,Survey,Social-Cultural,Work,1,Work Remotely (O),Work Remotely ,11
2,"I will work more remotely, if possible.",5,Survey,Social-Cultural,Work,2,Work Remotely (I),Work Remotely ,11
2,"I believe people will use digital commerce, companies, and platforms ____.",4,Survey,Social-Cultural,Lifestyle,1,Digital Commerce (O),Digital Commerce ,12
2,"I will use digital commerce, companies, and platforms ____.",4,Survey,Social-Cultural,Lifestyle,2,Digital Commerce (I),Digital Commerce ,12
2,I believe people will use technology ____.,4,Survey,Social-Cultural,Work,1,Technology Use (O),Technology Use ,13
2,I will use technology ____.,4,Survey,Social-Cultural,Work,2,Technology Use (I),Technology Use ,13
2,"I believe people will be more politically liberal (e.g. vote for universal healthcare, more government aid).",4,Survey,Political,-,1,Liberal (O),Liberal ,14
2,"I will be more politically liberal (e.g. vote for universal healthcare, more government aid).",3,Survey,Political,-,2,Liberal (I),Liberal ,14
2,"I believe people will be more politically conservative (e.g. vote for healthcare marketplace, less government aid).",3,Survey,Political,-,1,Conservative (O),Conservative ,15
2,"I will be more politically conservative (e.g. vote for healthcare marketplace, less government aid).",3,Survey,Political,-,2,Conservative (I),Conservative ,15
2,I believe people will carry masks and/or hand sanitizer around with them as a precaution.,4,Survey,Social-Cultural,Hygiene,1,Carry Masks (O),Carry Masks ,16
2,I will carry a mask and/or hand sanitizer around with me as a precaution.,4,Survey,Social-Cultural,Hygiene,2,Carry Masks (I),Carry Masks ,16
2,I believe people will be ____ globally aware (e.g. feel the importance of global connections and cooperation).,4,Survey,Social-Cultural,Cooperation,1,Globally Aware (O),Globally Aware ,17
2,I will be ____ globally aware (e.g. feel the importance of global connections and cooperation).,4,Survey,Social-Cultural,Cooperation,2,Globally Aware (I),Globally Aware ,17
2,I believe people will value classroom education ____.,2,Survey,Cultural,Education,1,Classroom Ed (O),Classroom Ed ,18
2,I will value classroom education ____.,2,Survey,Cultural,Education,2,Classroom Ed (I),Classroom Ed ,18
2,I believe people will pursue relationships or intimate interactions online or via technology ____.,3,Survey,Social-Cultural,Lifestyle,1,Relationships (O),Relationships ,19
2,I will pursue relationships or intimate interactions online or via technology ____.,5,Survey,Social-Cultural,Lifestyle,2,Relationships (I),Relationships ,19
2,I believe people will travel ____.,1,Survey,Social-Cultural,Transportation,1,Travel (O),Travel ,20
2,I will travel ____.,5,Survey,Social-Cultural,Transportation,2,Travel (I),Travel ,20
2,I believe people will touch their faces ____.,3,Survey,Social-Cultural,Hygiene,1,Touch Face (O),Touch Face ,21
2,I will touch my face ____.,3,Survey,Social-Cultural,Hygiene,2,Touch Face (I),Touch Face ,21
2,"I believe people will practice safer hygiene in public (e.g. properly covering coughs/sneezes, staying home if sick).",2,Survey,Social-Cultural,Hygiene,1,Public Hygiene (O),Public Hygiene ,22
2,"I will practice safer hygiene in public (e.g. properly covering coughs/sneezes, staying home if sick).",2,Survey,Social-Cultural,Hygiene,2,Public Hygiene (I),Public Hygiene ,22
2,"I believe people will feel more comfortable reminding others about safe public hygiene (e.g. covering cough, not touching face).",3,Survey,Social-Cultural,Hygiene,1,Remind Others (O),Remind Others ,23
2,"I will feel more comfortable reminding others about safe public hygiene (e.g. covering cough, not touching face).",3,Survey,Social-Cultural,Hygiene,2,Remind Others (I),Remind Others ,23
2,I believe people will be ____ trustful of medical professionals.,2,Survey,Policy,Health,1,Trust Doctors (O),Trust Doctors ,24
2,I will be ____ trustful of medical professionals.,2,Survey,Policy,Health,2,Trust Doctors (I),Trust Doctors ,24
2,I believe people will have ____ trust in vaccines.,2,Survey,Policy,Health,1,Trust Vaccines (O),Trust Vaccines ,25
2,I will have ____ trust in vaccines.,2,Survey,Policy,Health,2,Trust Vaccines (I),Trust Vaccines ,25
2,"I believe people will do ____ to maintain their personal wellness (e.g. eat healthfully, exercise, practice work-life balance).",3,Survey,Cultural,Well-being,1,Wellness (O),Wellness ,26
2,"I will do ____ to maintain my personal wellness (e.g. eat healthfully, exercise, practice work-life balance).",4,Survey,Cultural,Well-being,2,Wellness (I),Wellness ,26
2,I believe people will practice ____ hygiene during annual flu seasons.,3,Survey,Social-Cultural,Hygiene,1,Flu Season (O),Flu Season ,27
2,I will practice ______ hygiene during annual flu seasons.,4,Survey,Social-Cultural,Hygiene,2,Flu Season (I),Flu Season ,27
2,I believe people will have ____ trust in their government.,3,Survey,Political,-,1,Trust Gov (O),Trust Gov ,28
2,I will have ____ trust in my government.,3,Survey,Political,-,2,Trust Gov (I),Trust Gov ,28
2,I see myself as introverted or reserved.,3,Closing,General,-,2,Introverted,NA,29
2,I see myself as extroverted or outgoing.,3,Closing,General,-,2,Extroverted,NA,29
2,The COVID-19 pandemic has greatly affected my daily life.,4,Closing,General,-,2,Greatly Affected Me,NA,30
2,The COVID-19 pandemic has greatly affected those closest to me (can include friends and family).,5,Closing,General,-,1,Greatly Affected Closest,NA,30
2,"(Optional) If you would like, please share how the COVID-19 pandemic has personally affected you.",NA,Closing,General,-,2,Optional (1),NA,31
2,(Optional) What's the first thing you will do once quarantine is fully lifted and there is no risk of another wave of infection?,NA,Closing,General,-,2,Optional (2),NA,31
3,I believe people will return to using hand shakes and/or other physical greetings.,1,Survey,Social-Cultural,Hygiene,1,Hand Shakes (O),Hand Shakes ,1
3,I will return to using hand shakes and/or other physical greetings.,1,Survey,Social-Cultural,Hygiene,2,Hand Shakes (I),Hand Shakes ,1
3,"Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I believe people will be more climate conscious.",2,Survey,Policy,Climate,1,Climate Conscious (O),Climate Conscious ,2
3,"Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I will be more climate conscious.",1,Survey,Policy,Climate,2,Climate Conscious (I),Climate Conscious ,2
3,"I believe people will practice healthier digital habits (e.g. screen time limits, responsible online discourse).",1,Survey,Cultural,Well-being,1,Digital Habits (O),Digital Habits ,3
3,"I will practice healthier digital habits (e.g. screen time limits, responsible online discourse).",1,Survey,Cultural,Well-being,2,Digital Habits (I),Digital Habits ,3
3,"I believe people will avoid crowded areas more (e.g. concerts, theme parks).",4,Survey,Social-Cultural,Lifestyle,1,Avoid Crowds (O),Avoid Crowds ,4
3,"I will avoid crowded areas more (e.g. concerts, theme parks).",1,Survey,Social-Cultural,Lifestyle,2,Avoid Crowds (I),Avoid Crowds ,4
3,"I believe people will use public transportation less, if possible.",1,Survey,Social-Cultural,Transportation,1,Public Transport (O),Public Transport ,5
3,"I will use public transportation less, if possible.",1,Survey,Social-Cultural,Transportation,2,Public Transport (I),Public Transport ,5
3,"I believe people will save money more, rather than spend it.",4,Survey,Social-Cultural,Lifestyle,1,Save Money (O),Save Money ,6
3,"I will save money more, rather than spend it.",1,Survey,Social-Cultural,Lifestyle,2,Save Money (I),Save Money ,6
3,I believe people will think more before making impulsive purchases.,1,Survey,Social-Cultural,Lifestyle,1,Impulse Buy (O),Impulse Buy ,7
3,I will think more before making impulsive purchases.,1,Survey,Social-Cultural,Lifestyle,2,Impulse Buy (I),Impulse Buy ,7
3,I believe people will work harder to foster family and/or community ties.,4,Survey,Cultural,Well-being,1,Fam/Comm Ties (O),Fam/Comm Ties ,8
3,I will work harder to foster family and/or community ties.,1,Survey,Cultural,Well-being,2,Fam/Comm Ties (I),Fam/Comm Ties ,8
3,I believe people will seek out more evidence-based information.,1,Survey,Policy,Science,1,Evidence-Based Info (O),Evidence-Based Info ,9
3,I will seek out more evidence-based information.,1,Survey,Policy,Science,2,Evidence-Based Info (I),Evidence-Based Info ,9
3,"I believe people will be more comfortable acting independently (e.g. spending time alone, practicing personal hobbies or at-home activities).",4,Survey,Cultural,Well-being,1,Independent (O),Independent ,10
3,"I will be more comfortable acting independently (e.g. spending time alone, practicing personal hobbies or at-home activities).",1,Survey,Cultural,Well-being,2,Independent (I),Independent ,10
3,"I believe people will work more remotely, if possible.",5,Survey,Social-Cultural,Work,1,Work Remotely (O),Work Remotely ,11
3,"I will work more remotely, if possible.",1,Survey,Social-Cultural,Work,2,Work Remotely (I),Work Remotely ,11
3,"I believe people will use digital commerce, companies, and platforms ____.",5,Survey,Social-Cultural,Lifestyle,1,Digital Commerce (O),Digital Commerce ,12
3,"I will use digital commerce, companies, and platforms ____.",3,Survey,Social-Cultural,Lifestyle,2,Digital Commerce (I),Digital Commerce ,12
3,I believe people will use technology ____.,4,Survey,Social-Cultural,Work,1,Technology Use (O),Technology Use ,13
3,I will use technology ____.,3,Survey,Social-Cultural,Work,2,Technology Use (I),Technology Use ,13
3,"I believe people will be more politically liberal (e.g. vote for universal healthcare, more government aid).",4,Survey,Political,-,1,Liberal (O),Liberal ,14
3,"I will be more politically liberal (e.g. vote for universal healthcare, more government aid).",1,Survey,Political,-,2,Liberal (I),Liberal ,14
3,"I believe people will be more politically conservative (e.g. vote for healthcare marketplace, less government aid).",2,Survey,Political,-,1,Conservative (O),Conservative ,15
3,"I will be more politically conservative (e.g. vote for healthcare marketplace, less government aid).",1,Survey,Political,-,2,Conservative (I),Conservative ,15
3,I believe people will carry masks and/or hand sanitizer around with them as a precaution.,4,Survey,Social-Cultural,Hygiene,1,Carry Masks (O),Carry Masks ,16
3,I will carry a mask and/or hand sanitizer around with me as a precaution.,1,Survey,Social-Cultural,Hygiene,2,Carry Masks (I),Carry Masks ,16
3,I believe people will be ____ globally aware (e.g. feel the importance of global connections and cooperation).,3,Survey,Social-Cultural,Cooperation,1,Globally Aware (O),Globally Aware ,17
3,I will be ____ globally aware (e.g. feel the importance of global connections and cooperation).,3,Survey,Social-Cultural,Cooperation,2,Globally Aware (I),Globally Aware ,17
3,I believe people will value classroom education ____.,2,Survey,Cultural,Education,1,Classroom Ed (O),Classroom Ed ,18
3,I will value classroom education ____.,3,Survey,Cultural,Education,2,Classroom Ed (I),Classroom Ed ,18
3,I believe people will pursue relationships or intimate interactions online or via technology ____.,4,Survey,Social-Cultural,Lifestyle,1,Relationships (O),Relationships ,19
3,I will pursue relationships or intimate interactions online or via technology ____.,3,Survey,Social-Cultural,Lifestyle,2,Relationships (I),Relationships ,19
3,I believe people will travel ____.,2,Survey,Social-Cultural,Transportation,1,Travel (O),Travel ,20
3,I will travel ____.,3,Survey,Social-Cultural,Transportation,2,Travel (I),Travel ,20
3,I believe people will touch their faces ____.,3,Survey,Social-Cultural,Hygiene,1,Touch Face (O),Touch Face ,21
3,I will touch my face ____.,3,Survey,Social-Cultural,Hygiene,2,Touch Face (I),Touch Face ,21
3,"I believe people will practice safer hygiene in public (e.g. properly covering coughs/sneezes, staying home if sick).",4,Survey,Social-Cultural,Hygiene,1,Public Hygiene (O),Public Hygiene ,22
3,"I will practice safer hygiene in public (e.g. properly covering coughs/sneezes, staying home if sick).",3,Survey,Social-Cultural,Hygiene,2,Public Hygiene (I),Public Hygiene ,22
3,"I believe people will feel more comfortable reminding others about safe public hygiene (e.g. covering cough, not touching face).",4,Survey,Social-Cultural,Hygiene,1,Remind Others (O),Remind Others ,23
3,"I will feel more comfortable reminding others about safe public hygiene (e.g. covering cough, not touching face).",3,Survey,Social-Cultural,Hygiene,2,Remind Others (I),Remind Others ,23
3,I believe people will be ____ trustful of medical professionals.,3,Survey,Policy,Health,1,Trust Doctors (O),Trust Doctors ,24
3,I will be ____ trustful of medical professionals.,3,Survey,Policy,Health,2,Trust Doctors (I),Trust Doctors ,24
3,I believe people will have ____ trust in vaccines.,4,Survey,Policy,Health,1,Trust Vaccines (O),Trust Vaccines ,25
3,I will have ____ trust in vaccines.,3,Survey,Policy,Health,2,Trust Vaccines (I),Trust Vaccines ,25
3,"I believe people will do ____ to maintain their personal wellness (e.g. eat healthfully, exercise, practice work-life balance).",4,Survey,Cultural,Well-being,1,Wellness (O),Wellness ,26
3,"I will do ____ to maintain my personal wellness (e.g. eat healthfully, exercise, practice work-life balance).",3,Survey,Cultural,Well-being,2,Wellness (I),Wellness ,26
3,I believe people will practice ____ hygiene during annual flu seasons.,4,Survey,Social-Cultural,Hygiene,1,Flu Season (O),Flu Season ,27
3,I will practice ______ hygiene during annual flu seasons.,3,Survey,Social-Cultural,Hygiene,2,Flu Season (I),Flu Season ,27
3,I believe people will have ____ trust in their government.,2,Survey,Political,-,1,Trust Gov (O),Trust Gov ,28
3,I will have ____ trust in my government.,3,Survey,Political,-,2,Trust Gov (I),Trust Gov ,28
3,I see myself as introverted or reserved.,5,Closing,General,-,2,Introverted,NA,29
3,I see myself as extroverted or outgoing.,2,Closing,General,-,2,Extroverted,NA,29
3,The COVID-19 pandemic has greatly affected my daily life.,3,Closing,General,-,2,Greatly Affected Me,NA,30
3,The COVID-19 pandemic has greatly affected those closest to me (can include friends and family).,1,Closing,General,-,1,Greatly Affected Closest,NA,30
3,"(Optional) If you would like, please share how the COVID-19 pandemic has personally affected you.",NA,Closing,General,-,2,Optional (1),NA,31
3,(Optional) What's the first thing you will do once quarantine is fully lifted and there is no risk of another wave of infection?,NA,Closing,General,-,2,Optional (2),NA,31
4,I believe people will return to using hand shakes and/or other physical greetings.,4,Survey,Social-Cultural,Hygiene,1,Hand Shakes (O),Hand Shakes ,1
4,I will return to using hand shakes and/or other physical greetings.,4,Survey,Social-Cultural,Hygiene,2,Hand Shakes (I),Hand Shakes ,1
4,"Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I believe people will be more climate conscious.",3,Survey,Policy,Climate,1,Climate Conscious (O),Climate Conscious ,2
4,"Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I will be more climate conscious.",5,Survey,Policy,Climate,2,Climate Conscious (I),Climate Conscious ,2
4,"I believe people will practice healthier digital habits (e.g. screen time limits, responsible online discourse).",2,Survey,Cultural,Well-being,1,Digital Habits (O),Digital Habits ,3
4,"I will practice healthier digital habits (e.g. screen time limits, responsible online discourse).",3,Survey,Cultural,Well-being,2,Digital Habits (I),Digital Habits ,3
4,"I believe people will avoid crowded areas more (e.g. concerts, theme parks).",4,Survey,Social-Cultural,Lifestyle,1,Avoid Crowds (O),Avoid Crowds ,4
4,"I will avoid crowded areas more (e.g. concerts, theme parks).",3,Survey,Social-Cultural,Lifestyle,2,Avoid Crowds (I),Avoid Crowds ,4
4,"I believe people will use public transportation less, if possible.",1,Survey,Social-Cultural,Transportation,1,Public Transport (O),Public Transport ,5
4,"I will use public transportation less, if possible.",2,Survey,Social-Cultural,Transportation,2,Public Transport (I),Public Transport ,5
4,"I believe people will save money more, rather than spend it.",3,Survey,Social-Cultural,Lifestyle,1,Save Money (O),Save Money ,6
4,"I will save money more, rather than spend it.",2,Survey,Social-Cultural,Lifestyle,2,Save Money (I),Save Money ,6
4,I believe people will think more before making impulsive purchases.,5,Survey,Social-Cultural,Lifestyle,1,Impulse Buy (O),Impulse Buy ,7
4,I will think more before making impulsive purchases.,5,Survey,Social-Cultural,Lifestyle,2,Impulse Buy (I),Impulse Buy ,7
4,I believe people will work harder to foster family and/or community ties.,3,Survey,Cultural,Well-being,1,Fam/Comm Ties (O),Fam/Comm Ties ,8
4,I will work harder to foster family and/or community ties.,3,Survey,Cultural,Well-being,2,Fam/Comm Ties (I),Fam/Comm Ties ,8
4,I believe people will seek out more evidence-based information.,5,Survey,Policy,Science,1,Evidence-Based Info (O),Evidence-Based Info ,9
4,I will seek out more evidence-based information.,5,Survey,Policy,Science,2,Evidence-Based Info (I),Evidence-Based Info ,9
4,"I believe people will be more comfortable acting independently (e.g. spending time alone, practicing personal hobbies or at-home activities).",5,Survey,Cultural,Well-being,1,Independent (O),Independent ,10
4,"I will be more comfortable acting independently (e.g. spending time alone, practicing personal hobbies or at-home activities).",3,Survey,Cultural,Well-being,2,Independent (I),Independent ,10
4,"I believe people will work more remotely, if possible.",5,Survey,Social-Cultural,Work,1,Work Remotely (O),Work Remotely ,11
4,"I will work more remotely, if possible.",5,Survey,Social-Cultural,Work,2,Work Remotely (I),Work Remotely ,11
4,"I believe people will use digital commerce, companies, and platforms ____.",3,Survey,Social-Cultural,Lifestyle,1,Digital Commerce (O),Digital Commerce ,12
4,"I will use digital commerce, companies, and platforms ____.",5,Survey,Social-Cultural,Lifestyle,2,Digital Commerce (I),Digital Commerce ,12
4,I believe people will use technology ____.,5,Survey,Social-Cultural,Work,1,Technology Use (O),Technology Use ,13
4,I will use technology ____.,5,Survey,Social-Cultural,Work,2,Technology Use (I),Technology Use ,13
4,"I believe people will be more politically liberal (e.g. vote for universal healthcare, more government aid).",5,Survey,Political,-,1,Liberal (O),Liberal ,14
4,"I will be more politically liberal (e.g. vote for universal healthcare, more government aid).",5,Survey,Political,-,2,Liberal (I),Liberal ,14
4,"I believe people will be more politically conservative (e.g. vote for healthcare marketplace, less government aid).",5,Survey,Political,-,1,Conservative (O),Conservative ,15
4,"I will be more politically conservative (e.g. vote for healthcare marketplace, less government aid).",5,Survey,Political,-,2,Conservative (I),Conservative ,15
4,I believe people will carry masks and/or hand sanitizer around with them as a precaution.,5,Survey,Social-Cultural,Hygiene,1,Carry Masks (O),Carry Masks ,16
4,I will carry a mask and/or hand sanitizer around with me as a precaution.,5,Survey,Social-Cultural,Hygiene,2,Carry Masks (I),Carry Masks ,16
