Timestamp,In what country do you currently live?,What is your age?,What is your gender?,What is your race or ethnicity? (Select all that apply.),What is the highest level of education you have completed?,What is your marital status?,What is your current employment status?,What is your annual income level? (in the currency of your country).,"If you live in the US, what is your 5-digit zipcode?",I believe people will return to using hand shakes and/or other physical greetings.,I will return to using hand shakes and/or other physical greetings.,"Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I believe people will be more climate conscious.","Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I will be more climate conscious.","I believe people will practice healthier digital habits (e.g. screen time limits, responsible online discourse).","I will practice healthier digital habits (e.g. screen time limits, responsible online discourse).","I believe people will avoid crowded areas more (e.g. concerts, theme parks).","I will avoid crowded areas more (e.g. concerts, theme parks).","I believe people will use public transportation less, if possible.","I will use public transportation less, if possible.","I believe people will save money more, rather than spend it.","I will save money more, rather than spend it.",I believe people will think more before making impulsive purchases.,I will think more before making impulsive purchases.,I believe people will work harder to foster family and/or community ties.,I will work harder to foster family and/or community ties.,I believe people will seek out more evidence-based information.,I will seek out more evidence-based information.,"I believe people will be more comfortable acting independently (e.g. spending time alone, practicing personal hobbies or at-home activities).","I will be more comfortable acting independently (e.g. spending time alone, practicing personal hobbies or at-home activities).","I believe people will work more remotely, if possible.","I will work more remotely, if possible.","I believe people will use digital commerce, companies, and platforms ____.","I will use digital commerce, companies, and platforms ____.",I believe people will use technology ____.,I will use technology ____.,"I believe people will be more politically liberal (e.g. vote for universal healthcare, more government aid).","I will be more politically liberal (e.g. vote for universal healthcare, more government aid).","I believe people will be more politically conservative (e.g. vote for healthcare marketplace, less government aid).","I will be more politically conservative (e.g. vote for healthcare marketplace, less government aid).",I believe people will carry masks and/or hand sanitizer around with them as a precaution.,I will carry a mask and/or hand sanitizer around with me as a precaution.,I believe people will be ____ globally aware (e.g. feel the importance of global connections and cooperation).,I will be ____ globally aware (e.g. feel the importance of global connections and cooperation). ,I believe people will value classroom education ____.,I will value classroom education ____.,I believe people will pursue relationships or intimate interactions online or via technology ____.,I will pursue relationships or intimate interactions online or via technology ____.,I believe people will travel ____.,I will travel ____.,I believe people will touch their faces ____.,I will touch my face ____.,"I believe people will practice safer hygiene in public (e.g. properly covering coughs/sneezes, staying home if sick).","I will practice safer hygiene in public (e.g. properly covering coughs/sneezes, staying home if sick).","I believe people will feel more comfortable reminding others about safe public hygiene (e.g. covering cough, not touching face).","I will feel more comfortable reminding others about safe public hygiene (e.g. covering cough, not touching face).",I believe people will be ____ trustful of medical professionals.,I will be ____ trustful of medical professionals.,I believe people will have ____ trust in vaccines.,I will have ____ trust in vaccines.,"I believe people will do ____ to maintain their personal wellness (e.g. eat healthfully, exercise, practice work-life balance).","I will do ____ to maintain my personal wellness (e.g. eat healthfully, exercise, practice work-life balance).",I believe people will practice ____ hygiene during annual flu seasons.,I will practice ______ hygiene during annual flu seasons.,I believe people will have ____ trust in their government.,I will have ____ trust in my government.,I see myself as introverted or reserved.,I see myself as extroverted or outgoing.,The COVID-19 pandemic has greatly affected my daily life.,The COVID-19 pandemic has greatly affected those closest to me (can include friends and family).,"(Optional) If you would like, please share how the COVID-19 pandemic has personally affected you.",(Optional) What's the first thing you will do once quarantine is fully lifted and there is no risk of another wave of infection?
2020/04/16 5:50:37 PM EST,Colombia,23,Female,Hispanic/Latino,Bachelor's Degree,"Single, never married",Self-employed,2500000,,4,4,2,5,3,2,2,2,4,4,2,3,2,4,3,3,4,5,4,5,5,5,4,3,3,3,4,4,2,1,4,2,3,4,4,3,4,3,1,4,2,1,4,5,4,4,4,3,5,3,4,5,5,3,1,3,3,3,1,4,"Me mude de una zona urbana a una zona rural en la mitad Febrero para trabajar como maestra, el pueblo está aislado de la ciudad donde hay casos de COVID-19, no hay transporte y cada personal que llega al pueblo es debidamente confiscado y puesto en aislamiento, entonces no hay posibilidad que hayan casos donde vivo, puedo salir sin preocupaciones e ir al mercado sin problema.Sin embargo , no lo hago todos los días, respeto la cuarentena decretada por el gobierno a nivel nacional, solo voy una vez a la semana a conseguir alimentos (queda a 2 minutos de mi casa). He disfrutado estar en cuarentena,  hago ejercicio, intento comer saludable, también han habido mucho concierto online de músico geniales, como Pedro Aznar. Sin  embargo, específicamente está semana se me ha hecho difícil sentirme tranquila, ya quiero continuar mi trabajo, es mi primer empleo y quería comprar una tablet para leer muchos libros y organizar mejor mi trabajo con este dispositivo pero no puedo ir a la ciudad. 

Por otro lado, la pandemia como a muchos nos ha cambiado los planes a tal punto que no sé que serán de ellos. Mi contrato como docente va hasta el 7 de mayo, luego estaré desempleada, mi plan era estudiar en el exterior a partir de Agosto, pero ya recibí un correo por parte de la universidad que la admisión queda aplazada hasta nuevo aviso.  Igual no podría ir porque todas las embajadas están cerradas y no podría hacer papeles de visa, además el dolar está muy costoso.  Todo es incierto. Ahí es cuando te das cuenta lo impredecible del futuro, la pandemia ha interrumpido de manera sorprendente nuestra vida cotidiana. Y por lo único que vale preocuparse es por el día a día. ",Ir a correr por el campo e ir a a visitar a mi mamá a la ciudad para comernos una hamburguesa. 
2020/04/16 6:01:28 PM EST,Mexico,32,Gender Variant/Non-Conforming,"Hispanic/Latino, Mixed Race",Doctorate degree,"Single, never married",Full-time eployment,45000,,5,5,2,3,2,3,1,1,3,3,3,3,1,3,5,5,1,5,2,3,3,5,4,3,4,3,3,3,3,3,3,5,3,3,3,3,4,3,3,5,3,5,1,3,5,1,3,3,3,3,3,3,3,3,3,3,3,3,5,5,Estado de estrés crónico,"Puesto de tacos, ver familia en la ciudad, ir a mi tierra"
2020/04/16 6:27:31 PM EST,Unnited States,32,Male,Hispanic/Latino,Doctorate degree,Married,Full-time eployment,50000,40507,2,4,4,5,3,3,3,4,3,2,4,4,4,5,3,3,3,5,4,4,4,4,4,4,4,5,4,4,3,2,2,2,4,4,4,4,4,3,3,3,2,2,4,5,4,4,4,3,4,3,4,4,4,4,2,2,4,3,5,5,"He tenido gastos imprevistos. He tenido que tomar promociones ofrecidas por mis tarjetas de crédito. Mi esposa no ha podido solicitar permiso para trabajar legalmente en EEUU, ni mucho menos ha podido encontrar trabajo. En mi familia política cercana, varios han perdido empleos y he destinado algo de dinero en apoyarlos.",Consumir lo menos posible productos hechos en China
2020/04/16 6:27:44 PM EST,Mexico,24,Female,Hispanic/Latino,High School or equivalent (GED),"Single, never married",Student,12000,,5,5,2,5,1,2,1,2,1,1,1,3,1,4,3,4,1,5,3,4,1,1,3,3,3,3,3,4,3,2,1,2,3,5,4,5,3,3,3,4,3,2,2,5,3,4,3,5,4,5,3,4,4,5,2,2,4,3,5,5,"Soy médico interno de pregrado, a 2 meses de concluirlo. Ahora estamos en el aislamiento establecido y nos es imposible realizar nuestras prácticas médicas como está estipulado en nuestro plan de estudios.",Reunirme con toda mi familia
2020/04/16 6:30:18 PM EST,Mexico,50,Female,Mixed Race,Master's Degree,Married,Full-time eployment,240000,,5,5,2,5,2,5,2,5,1,4,4,4,3,5,5,5,2,5,4,3,4,2,4,3,5,4,5,5,2,1,2,3,4,5,4,4,3,3,4,4,3,3,3,5,4,5,5,5,5,5,4,5,4,5,4,4,2,4,4,4,,Visitar a mi amigo más querido
2020/04/16 6:36:30 PM EST,Spain,28,Female,Hispanic/Latino,Master's Degree,"Single, never married",Student,9000,,2,2,3,4,1,2,1,2,1,5,2,5,2,5,3,4,1,5,3,5,4,5,4,4,4,4,1,5,1,1,4,3,3,3,3,5,3,3,2,1,3,3,4,5,3,1,3,3,3,5,3,5,4,5,1,1,5,1,2,1,,
2020/04/16 7:30:30 PM EST,Mexico,39,Male,Mixed Race,Bachelor's Degree,Married,Full-time eployment,18000,,3,3,2,5,2,5,2,5,1,3,2,3,2,3,2,3,2,5,3,3,4,5,4,5,4,5,4,3,3,3,2,3,4,5,4,1,4,3,2,3,3,3,2,5,4,5,4,5,4,5,4,5,4,5,2,4,3,4,2,2,"Por la incertidumbre social que esta generando, sus efectos a futuro en lo económico traerán mayor pobreza e inseguridad pública y social.",Seguir con mi vida y reinventarme a fin de lograr seguridad alimentaria.
2020/04/16 8:01:06 PM EST,Mexico,35,Female,Hispanic/Latino,Doctorate degree,Married,Part-time employment,200000,,5,2,1,4,1,3,1,3,1,3,1,4,1,3,4,4,1,4,2,4,3,5,3,3,3,3,1,,1,,4,4,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,4,3,3,3,3,3,3,1,3,2,4,5,5,,
2020/04/16 8:13:36 PM EST,Mexico,50,Female,Indigenous,Less than HS diploma,Married,Self-employed,120,,1,2,2,5,1,5,2,5,4,5,1,5,1,5,5,5,5,5,2,5,2,2,5,2,2,2,4,4,,,4,4,4,4,4,4,4,2,1,1,1,1,5,5,5,5,4,4,4,4,4,4,4,4,2,2,5,1,5,5,,
2020/04/16 8:19:54 PM EST,Mexico,22,Female,Hispanic/Latino,Bachelor's Degree,"Single, never married",Full-time eployment,156000,,4,2,2,4,3,4,2,2,2,2,2,4,3,4,3,5,3,5,3,3,2,2,4,3,3,3,3,5,4,2,4,4,3,4,4,5,4,3,4,4,2,1,2,5,3,4,4,5,3,5,3,4,4,5,2,3,2,4,4,2,"Mis labores las realizo completamente desde casa, detuve algunos trámites importantes personales.",Salir con amigos.
2020/04/16 8:28:56 PM EST,France,31,Male,Hispanic/Latino,Master's Degree,Married,Unemployed,14400,,2,2,2,5,1,1,4,2,4,3,2,4,2,3,3,4,5,5,4,4,5,5,4,4,4,3,4,4,2,1,5,3,3,3,3,2,4,3,2,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,1,1,3,3,4,4,Me encuentro imposibilitado a reunirme con mi esposa y la incertidumbre no me permite acceder a oportunidades de empleo puesto que no me encuentro en el país en el que radico. Las opciones de trabajo remoto aún son muy escasas en mi ámbito laboral.,Regresar a Francia.
2020/04/16 8:30:15 PM EST,Mexico,22,Female,Hispanic/Latino,Bachelor's Degree,"Single, never married",Unemployed,0,,2,1,4,5,1,4,1,4,1,1,3,5,3,5,4,5,4,5,1,2,4,5,4,3,4,3,4,5,4,3,5,5,4,5,4,5,3,4,4,4,2,1,5,5,5,5,3,5,5,5,4,5,5,5,2,2,5,2,5,5,"Estaba a punto de entrar a trabajar cuando empezó la pandemia, no obstante se suspendieron labores gubernamentales y sigo desempleada.",Salir a buscar empleo. 
2020/04/16 8:35:17 PM EST,Mexico,23,Female,Hispanic/Latino,Bachelor's Degree,"Single, never married",Student,0,,5,3,1,4,4,4,1,5,1,3,3,3,1,5,1,3,1,5,5,5,3,3,4,3,4,3,4,5,1,3,1,4,3,3,3,3,4,5,3,3,3,2,1,1,3,5,3,5,5,5,3,4,3,4,3,3,5,3,1,4,"No ha habido mucho cambio, excepto que me ha servido para relajarme más del estrés de la universidad.",Probablemente salir con mis padres a comer.
2020/04/16 8:57:55 PM EST,Mexico,54,Male,Mixed Race,Master's Degree,Divorced,Self-employed,40000,,4,4,3,5,3,4,3,4,3,3,2,4,3,4,3,3,2,5,3,4,4,5,5,4,5,4,3,3,3,3,3,3,3,4,2,3,4,3,3,3,3,2,3,4,3,3,2,3,2,3,3,4,3,4,2,1,4,2,5,4,"Menores ingresos, mayores gastos, menos contacto con familiares y amigos",Irme de viaje
2020/04/16 10:18:32 PM EST,Mexico,58,Female,Hispanic/Latino,Bachelor's Degree,Divorced,Full-time eployment,200000,,1,1,5,5,4,5,4,5,1,4,4,5,5,5,4,5,4,5,5,5,4,5,3,3,5,5,1,5,2,4,4,5,4,5,5,5,4,4,2,3,2,1,5,5,5,5,4,5,5,5,4,4,5,5,4,4,5,3,5,5,,Visitar a mi familia
2020/04/16 10:23:21 PM EST,Mexico,21,Male,Hispanic/Latino,Associate's Degree,"Single, never married",Student,0,,4,4,3,5,4,4,2,2,1,2,4,5,2,5,4,4,4,5,2,2,4,5,5,3,5,3,3,3,3,3,4,2,5,4,4,4,2,1,2,3,2,2,4,5,5,5,5,4,4,3,4,3,4,4,4,4,4,2,3,4,,Saldría a convivir con amigos
2020/04/16 10:39:44 PM EST,Mexico,45,Female,Hispanic/Latino,Master's Degree,Married,Full-time eployment,450000,,4,2,4,5,4,4,3,5,2,3,3,4,4,5,3,4,4,5,1,4,3,4,3,3,4,5,5,5,4,5,3,5,3,5,4,5,3,3,2,3,3,2,3,5,4,5,3,3,3,4,3,3,4,3,2,2,5,1,5,5,,Viajar con mi familia 
2020/04/16 10:53:28 PM EST,Mexico,23,Female,"Hispanic/Latino, Mixed Race",Bachelor's Degree,"Single, never married",Full-time eployment,140000,,4,2,2,5,1,3,3,2,1,1,4,5,3,4,2,4,2,4,4,4,4,4,4,4,4,4,2,5,2,1,4,4,2,5,3,5,3,3,3,3,3,2,4,5,3,5,4,5,5,5,4,5,4,5,3,3,3,3,4,4,,
2020/04/16 11:13:15 PM EST,Paraguay,36,Female,Hispanic/Latino,Bachelor's Degree,In a domestic partnership or civil union,Unemployed,60000000,,4,2,4,5,3,5,4,5,5,5,2,4,1,5,4,5,4,5,2,4,5,3,4,4,4,4,4,5,1,1,4,5,4,4,4,4,3,1,3,3,2,2,4,5,3,4,4,4,4,3,4,5,4,5,2,3,4,2,5,5,,
2020/04/16 11:46:12 PM EST,Mexico,53,Female,Mixed Race,Master's Degree,In a domestic partnership or civil union,Full-time eployment,16000,,2,1,2,5,2,4,4,5,2,4,1,3,1,4,4,4,4,5,4,4,4,4,4,3,3,3,5,5,1,1,4,4,4,4,3,3,3,3,3,2,3,1,4,5,4,5,4,4,4,3,4,4,4,4,4,5,1,5,1,4,,Continuar convenciendo a las personas que cambiemos de hábitos y seamos más solidarios y prefiramos aquellos hábitos que dañan menos a la atmósfera y a la comunidades naturales  
2020/04/16 11:47:44 PM EST,Mexico,30,Female,Hispanic/Latino,Master's Degree,"Single, never married",Part-time employment,3000,,4,2,1,5,1,3,1,2,2,2,1,3,1,3,1,3,1,3,1,3,4,4,4,3,3,3,5,5,3,3,3,1,3,3,4,5,3,2,5,3,3,3,4,4,4,4,4,3,4,3,3,3,4,3,3,3,2,4,3,3,"Me está dejando con la posibilidad de no poder entrar al doctorado y, en su defecto, de no conseguir un buen empleo en muchísimo tiempo. La incertidumbre y la tristeza son muy grandes. ",Intentar continuar con mi proceso de ingreso al doctorado.
2020/04/17 1:18:24 AM EST,Mexico,37,Male,Hispanic/Latino,"Professional Degree (for example: MD, DDS, JD)","Single, never married",Full-time eployment,150000,,5,1,2,5,1,3,1,5,1,1,1,5,1,5,3,5,2,5,2,5,4,5,4,3,3,3,2,4,2,1,4,2,4,3,2,3,4,3,3,3,2,2,4,3,4,4,4,3,4,3,3,3,4,3,3,3,3,3,1,3,No me ha afectado.,Nada en particular. Haré lo mismo que llevo haciendo durante varios años.
2020/04/17 2:35:36 AM EST,Mexico,33,Female,Hispanic/Latino,Doctorate degree,Married,Part-time employment,50000,56226,2,2,2,5,2,5,2,3,1,5,1,3,1,3,1,4,4,5,4,4,4,3,4,3,3,2,3,3,2,3,5,5,3,4,1,4,3,1,4,3,2,2,2,4,4,5,1,3,2,4,2,4,2,4,1,3,4,1,5,2,"He seguido lo indicado por mi gobierno, pero gente cercana (vecinos, familiares, amigos) siguen con su vida diaria! Eso molesta mucho, porque no saben respetar ni hacer caso de una simple indicación! También nos hace pesar si será verdad la epidemia, pues hasta la fecha nos le ha pasado nada! Nosotros seguimos encerrados! ",Viajar
2020/04/17 3:36:37 AM EST,Spain,39,Male,Hispanic/Latino,"Professional Degree (for example: MD, DDS, JD)","Single, but cohabiting with a significant other",Full-time eployment,21000,,2,4,1,5,1,3,4,5,3,5,2,5,1,5,2,5,1,5,2,4,4,4,5,3,5,5,1,3,,,5,5,3,3,3,4,2,3,2,3,3,2,4,5,5,4,3,3,5,3,4,5,4,4,2,2,5,1,4,5,En el hecho de no poder salir a la calle a pasear libremente y que han cerrado algunos lugares a los que solía ir.,No lo tengo claro.
2020/04/17 7:09:00 AM EST,Mexico,47,Female,Hispanic/Latino,Bachelor's Degree,Married,Home-maker,300000,,2,5,2,5,1,5,4,5,1,2,3,5,2,5,2,5,2,5,2,5,1,1,5,2,4,1,2,5,2,1,1,1,3,5,3,5,5,2,2,2,3,3,4,5,5,5,4,3,4,4,3,4,4,5,4,5,2,2,1,5,En saber que soy vulnersblle,Irme a la  playa
2020/04/17 8:12:18 AM EST,Mexico,49,Female,Hispanic/Latino,Bachelor's Degree,Married,Full-time eployment,250000,,4,4,5,5,4,2,5,5,4,4,5,5,5,5,4,4,5,5,4,4,5,5,4,3,4,5,5,5,1,1,5,5,4,4,5,5,5,3,2,2,2,2,5,5,5,4,5,5,4,4,5,5,5,5,4,4,5,4,4,4,,Ir a trabajar 
2020/04/17 8:22:16 AM EST,Mexico,45,Female,Hispanic/Latino,Doctorate degree,Divorced,Full-time eployment,350000,,5,5,4,5,5,5,3,5,1,5,4,5,2,5,4,5,4,5,4,5,2,4,4,3,5,5,4,1,3,5,5,5,5,5,4,5,3,3,4,4,2,1,5,5,3,4,5,5,4,3,4,5,5,5,2,3,5,1,5,5,Ha limitado mi interaccion con la familia. ,Ir a un parque
2020/04/17 12:23:06 PM EST,Mexico,35,Female,"Hispanic/Latino, Mixed Race",Master's Degree,In a domestic partnership or civil union,Full-time eployment,150000,,2,4,2,5,2,4,1,4,1,4,1,5,2,5,4,4,3,4,4,5,4,5,5,5,5,5,1,5,1,4,4,5,4,4,3,2,4,3,5,4,3,2,2,4,4,4,3,4,3,4,3,5,2,4,1,1,3,4,4,5,Me ha beneficiado porque he logrado visualizar e ir concretando ideas de negocio,Salir a visitar a mi familia 
2020/04/17 12:48:46 PM EST,Mexico,42,Female,Mixed Race,Bachelor's Degree,In a domestic partnership or civil union,Full-time eployment,75000,,2,2,1,4,2,2,1,4,2,1,4,4,1,5,2,5,4,5,4,4,4,1,4,3,5,5,4,5,5,5,5,5,3,4,5,5,2,3,3,3,2,2,2,4,5,5,3,4,4,3,3,3,4,4,2,3,4,1,4,4,Lo colateral de estar en casa me ha ocasionado insomnio y mal humor,Dar gracias a Dios
2020/04/17 4:58:28 PM EST,Mexico,38,Female,Hispanic/Latino,Master's Degree,"Single, but cohabiting with a significant other",Full-time eployment,240000,,5,4,1,5,1,5,1,5,1,5,1,5,1,3,1,3,1,5,1,5,4,5,3,3,3,3,4,4,1,1,4,4,3,3,3,3,3,3,2,1,2,2,4,5,4,5,3,3,4,3,3,4,3,4,3,3,5,1,3,3,"Me preocupan las repercusiones en los grupos sociales menos favorecidos, me preocupan las fake news, además estoy leyendo o viendo o escuchando mucho más las noticias. Pienso que estoy sobre informada, entonces, mentalmente me he sentido agobiada por pensar en estos dos factores, me han causado cierta depresión o sensación de estar bajo amenaza, no es algo intenso, sino una sensación ligera.",abrazar y besar a mis amigos cuando me los encuentre por la calle. Ir a una laguna o balneario cercano a  mi ciudad a nadar y relajarme un momento en un espacio abierto y natural. 
2020/04/17 7:37:53 PM EST,Mexico,33,Female,Hispanic/Latino,Doctorate degree,"Single, never married",Full-time eployment,650000,,5,5,2,4,1,1,1,4,1,3,4,4,1,3,4,4,1,5,2,4,5,3,4,3,4,3,2,3,4,1,2,1,3,3,3,3,4,3,3,3,3,3,2,4,4,3,3,3,4,3,3,3,4,3,1,1,2,4,1,2,"Trabajo en investigación, casi todo lo que hago es en la computadora. Mi trabajo no se ha visto afectado de sobremanera, he dado mis clases por zoom y visto a mis estudiantes en linea.",Salir a comer a un restaurante.
2020/04/17 7:53:40 PM EST,Mexico,43,Female,Mixed Race,Master's Degree,Married,Home-maker,40000,,4,5,1,5,1,4,1,5,2,3,4,4,4,5,3,4,2,5,3,5,3,3,4,4,3,3,4,5,1,1,4,4,4,5,4,3,3,3,3,3,2,3,4,5,4,4,3,3,3,3,4,3,4,4,3,3,4,1,3,3,,Abrazar a mi madre y padre
2020/04/17 8:10:43 PM EST,Mexico,45,Female,"Hispanic/Latino, Mixed Race",Doctorate degree,Married,Full-time eployment,450000,,4,5,4,5,4,5,4,4,4,5,5,5,2,4,5,5,3,5,4,5,3,4,3,3,4,4,4,4,2,2,4,4,4,4,4,4,3,2,2,2,2,1,3,5,3,4,4,3,4,3,3,4,3,5,2,2,3,3,4,3,,Viajar a ver a mi mamá
