question,value,n,q_id,id,section,type,subtype,self_or_others,q_condensed,q_word,per
I believe people will carry masks and/or hand sanitizer around with them as a precaution.,3,39,16,8,Survey,Social-Cultural,Hygiene,1,Carry Masks (O),Carry Masks ,14.03
I believe people will carry masks and/or hand sanitizer around with them as a precaution.,4,140,16,8,Survey,Social-Cultural,Hygiene,1,Carry Masks (O),Carry Masks ,50.36
I believe people will carry masks and/or hand sanitizer around with them as a precaution.,5,56,16,8,Survey,Social-Cultural,Hygiene,1,Carry Masks (O),Carry Masks ,20.14
"I believe people will do ____ to maintain their personal wellness (e.g. eat healthfully, exercise, practice work-life balance).",2,7,26,9,Survey,Cultural,Well-being,1,Wellness (O),Wellness ,2.52
"I believe people will do ____ to maintain their personal wellness (e.g. eat healthfully, exercise, practice work-life balance).",3,123,26,9,Survey,Cultural,Well-being,1,Wellness (O),Wellness ,44.24
"I believe people will do ____ to maintain their personal wellness (e.g. eat healthfully, exercise, practice work-life balance).",4,122,26,9,Survey,Cultural,Well-being,1,Wellness (O),Wellness ,43.88
"I believe people will do ____ to maintain their personal wellness (e.g. eat healthfully, exercise, practice work-life balance).",5,26,26,9,Survey,Cultural,Well-being,1,Wellness (O),Wellness ,9.35
"I believe people will feel more comfortable reminding others about safe public hygiene (e.g. covering cough, not touching face).",1,12,23,10,Survey,Social-Cultural,Hygiene,1,Remind Others (O),Remind Others ,4.32
"I believe people will feel more comfortable reminding others about safe public hygiene (e.g. covering cough, not touching face).",2,17,23,10,Survey,Social-Cultural,Hygiene,1,Remind Others (O),Remind Others ,6.12
"I believe people will feel more comfortable reminding others about safe public hygiene (e.g. covering cough, not touching face).",3,50,23,10,Survey,Social-Cultural,Hygiene,1,Remind Others (O),Remind Others ,17.99
"I believe people will feel more comfortable reminding others about safe public hygiene (e.g. covering cough, not touching face).",4,128,23,10,Survey,Social-Cultural,Hygiene,1,Remind Others (O),Remind Others ,46.04
"I believe people will feel more comfortable reminding others about safe public hygiene (e.g. covering cough, not touching face).",5,71,23,10,Survey,Social-Cultural,Hygiene,1,Remind Others (O),Remind Others ,25.54
I believe people will have ____ trust in their government.,1,45,28,11,Survey,Political,-,1,Trust Gov (O),Trust Gov ,16.19
I believe people will have ____ trust in their government.,2,112,28,11,Survey,Political,-,1,Trust Gov (O),Trust Gov ,40.29
I believe people will have ____ trust in their government.,3,92,28,11,Survey,Political,-,1,Trust Gov (O),Trust Gov ,33.09
I believe people will have ____ trust in their government.,4,27,28,11,Survey,Political,-,1,Trust Gov (O),Trust Gov ,9.71
I believe people will have ____ trust in their government.,5,2,28,11,Survey,Political,-,1,Trust Gov (O),Trust Gov ,0.72
I believe people will have ____ trust in vaccines.,1,2,25,12,Survey,Policy,Health,1,Trust Vaccines (O),Trust Vaccines ,0.72
I believe people will have ____ trust in vaccines.,2,12,25,12,Survey,Policy,Health,1,Trust Vaccines (O),Trust Vaccines ,4.32
I believe people will have ____ trust in vaccines.,3,97,25,12,Survey,Policy,Health,1,Trust Vaccines (O),Trust Vaccines ,34.89
I believe people will have ____ trust in vaccines.,4,112,25,12,Survey,Policy,Health,1,Trust Vaccines (O),Trust Vaccines ,40.29
I believe people will have ____ trust in vaccines.,5,55,25,12,Survey,Policy,Health,1,Trust Vaccines (O),Trust Vaccines ,19.78
I believe people will practice ____ hygiene during annual flu seasons.,2,3,27,13,Survey,Social-Cultural,Hygiene,1,Flu Season (O),Flu Season ,1.08
I believe people will practice ____ hygiene during annual flu seasons.,3,79,27,13,Survey,Social-Cultural,Hygiene,1,Flu Season (O),Flu Season ,28.42
I believe people will practice ____ hygiene during annual flu seasons.,4,153,27,13,Survey,Social-Cultural,Hygiene,1,Flu Season (O),Flu Season ,55.04
I believe people will practice ____ hygiene during annual flu seasons.,5,43,27,13,Survey,Social-Cultural,Hygiene,1,Flu Season (O),Flu Season ,15.47
"I believe people will practice healthier digital habits (e.g. screen time limits, responsible online discourse).",1,91,3,14,Survey,Cultural,Well-being,1,Digital Habits (O),Digital Habits ,32.73
"I believe people will practice healthier digital habits (e.g. screen time limits, responsible online discourse).",2,72,3,14,Survey,Cultural,Well-being,1,Digital Habits (O),Digital Habits ,25.9
"I believe people will practice healthier digital habits (e.g. screen time limits, responsible online discourse).",3,47,3,14,Survey,Cultural,Well-being,1,Digital Habits (O),Digital Habits ,16.91
"I believe people will practice healthier digital habits (e.g. screen time limits, responsible online discourse).",4,53,3,14,Survey,Cultural,Well-being,1,Digital Habits (O),Digital Habits ,19.06
"I believe people will practice healthier digital habits (e.g. screen time limits, responsible online discourse).",5,15,3,14,Survey,Cultural,Well-being,1,Digital Habits (O),Digital Habits ,5.4
"I believe people will practice safer hygiene in public (e.g. properly covering coughs/sneezes, staying home if sick).",1,10,22,15,Survey,Social-Cultural,Hygiene,1,Public Hygiene (O),Public Hygiene ,3.6
"I believe people will practice safer hygiene in public (e.g. properly covering coughs/sneezes, staying home if sick).",2,36,22,15,Survey,Social-Cultural,Hygiene,1,Public Hygiene (O),Public Hygiene ,12.95
"I believe people will practice safer hygiene in public (e.g. properly covering coughs/sneezes, staying home if sick).",3,30,22,15,Survey,Social-Cultural,Hygiene,1,Public Hygiene (O),Public Hygiene ,10.79
"I believe people will practice safer hygiene in public (e.g. properly covering coughs/sneezes, staying home if sick).",4,146,22,15,Survey,Social-Cultural,Hygiene,1,Public Hygiene (O),Public Hygiene ,52.52
"I believe people will practice safer hygiene in public (e.g. properly covering coughs/sneezes, staying home if sick).",5,56,22,15,Survey,Social-Cultural,Hygiene,1,Public Hygiene (O),Public Hygiene ,20.14
I believe people will pursue relationships or intimate interactions online or via technology ____.,1,7,19,16,Survey,Social-Cultural,Lifestyle,1,Relationships (O),Relationships ,2.52
I believe people will pursue relationships or intimate interactions online or via technology ____.,2,37,19,16,Survey,Social-Cultural,Lifestyle,1,Relationships (O),Relationships ,13.31
I believe people will pursue relationships or intimate interactions online or via technology ____.,3,127,19,16,Survey,Social-Cultural,Lifestyle,1,Relationships (O),Relationships ,45.68
I believe people will pursue relationships or intimate interactions online or via technology ____.,4,90,19,16,Survey,Social-Cultural,Lifestyle,1,Relationships (O),Relationships ,32.37
I believe people will pursue relationships or intimate interactions online or via technology ____.,5,17,19,16,Survey,Social-Cultural,Lifestyle,1,Relationships (O),Relationships ,6.12
I believe people will return to using hand shakes and/or other physical greetings.,1,16,1,17,Survey,Social-Cultural,Hygiene,1,Hand Shakes (O),Hand Shakes ,5.76
I believe people will return to using hand shakes and/or other physical greetings.,2,43,1,17,Survey,Social-Cultural,Hygiene,1,Hand Shakes (O),Hand Shakes ,15.47
I believe people will return to using hand shakes and/or other physical greetings.,3,25,1,17,Survey,Social-Cultural,Hygiene,1,Hand Shakes (O),Hand Shakes ,8.99
I believe people will return to using hand shakes and/or other physical greetings.,4,90,1,17,Survey,Social-Cultural,Hygiene,1,Hand Shakes (O),Hand Shakes ,32.37
I believe people will return to using hand shakes and/or other physical greetings.,5,104,1,17,Survey,Social-Cultural,Hygiene,1,Hand Shakes (O),Hand Shakes ,37.41
"I believe people will save money more, rather than spend it.",1,50,6,18,Survey,Social-Cultural,Lifestyle,1,Save Money (O),Save Money ,17.99
"I believe people will save money more, rather than spend it.",2,47,6,18,Survey,Social-Cultural,Lifestyle,1,Save Money (O),Save Money ,16.91
"I believe people will save money more, rather than spend it.",3,42,6,18,Survey,Social-Cultural,Lifestyle,1,Save Money (O),Save Money ,15.11
"I believe people will save money more, rather than spend it.",4,100,6,18,Survey,Social-Cultural,Lifestyle,1,Save Money (O),Save Money ,35.97
"I believe people will save money more, rather than spend it.",5,39,6,18,Survey,Social-Cultural,Lifestyle,1,Save Money (O),Save Money ,14.03
I believe people will seek out more evidence-based information.,1,51,9,19,Survey,Policy,Science,1,Evidence-Based Info (O),Evidence-Based Info ,18.35
I believe people will seek out more evidence-based information.,2,52,9,19,Survey,Policy,Science,1,Evidence-Based Info (O),Evidence-Based Info ,18.71
I believe people will seek out more evidence-based information.,3,52,9,19,Survey,Policy,Science,1,Evidence-Based Info (O),Evidence-Based Info ,18.71
I believe people will seek out more evidence-based information.,4,85,9,19,Survey,Policy,Science,1,Evidence-Based Info (O),Evidence-Based Info ,30.58
I believe people will seek out more evidence-based information.,5,38,9,19,Survey,Policy,Science,1,Evidence-Based Info (O),Evidence-Based Info ,13.67
I believe people will think more before making impulsive purchases.,1,74,7,20,Survey,Social-Cultural,Lifestyle,1,Impulse Buy (O),Impulse Buy ,26.62
I believe people will think more before making impulsive purchases.,2,69,7,20,Survey,Social-Cultural,Lifestyle,1,Impulse Buy (O),Impulse Buy ,24.82
I believe people will think more before making impulsive purchases.,3,43,7,20,Survey,Social-Cultural,Lifestyle,1,Impulse Buy (O),Impulse Buy ,15.47
I believe people will think more before making impulsive purchases.,4,64,7,20,Survey,Social-Cultural,Lifestyle,1,Impulse Buy (O),Impulse Buy ,23.02
I believe people will think more before making impulsive purchases.,5,28,7,20,Survey,Social-Cultural,Lifestyle,1,Impulse Buy (O),Impulse Buy ,10.07
I believe people will touch their faces ____.,1,17,21,21,Survey,Social-Cultural,Hygiene,1,Touch Face (O),Touch Face ,6.12
I believe people will touch their faces ____.,2,104,21,21,Survey,Social-Cultural,Hygiene,1,Touch Face (O),Touch Face ,37.41
I believe people will touch their faces ____.,3,147,21,21,Survey,Social-Cultural,Hygiene,1,Touch Face (O),Touch Face ,52.88
I believe people will touch their faces ____.,4,5,21,21,Survey,Social-Cultural,Hygiene,1,Touch Face (O),Touch Face ,1.8
I believe people will touch their faces ____.,5,5,21,21,Survey,Social-Cultural,Hygiene,1,Touch Face (O),Touch Face ,1.8
I believe people will travel ____.,1,13,20,22,Survey,Social-Cultural,Transportation,1,Travel (O),Travel ,4.68
I believe people will travel ____.,2,86,20,22,Survey,Social-Cultural,Transportation,1,Travel (O),Travel ,30.94
I believe people will travel ____.,3,127,20,22,Survey,Social-Cultural,Transportation,1,Travel (O),Travel ,45.68
I believe people will travel ____.,4,30,20,22,Survey,Social-Cultural,Transportation,1,Travel (O),Travel ,10.79
I believe people will travel ____.,5,22,20,22,Survey,Social-Cultural,Transportation,1,Travel (O),Travel ,7.91
"I believe people will use digital commerce, companies, and platforms ____.",1,2,12,23,Survey,Social-Cultural,Lifestyle,1,Digital Commerce (O),Digital Commerce ,0.72
"I believe people will use digital commerce, companies, and platforms ____.",2,7,12,23,Survey,Social-Cultural,Lifestyle,1,Digital Commerce (O),Digital Commerce ,2.52
"I believe people will use digital commerce, companies, and platforms ____.",3,65,12,23,Survey,Social-Cultural,Lifestyle,1,Digital Commerce (O),Digital Commerce ,23.38
"I believe people will use digital commerce, companies, and platforms ____.",4,152,12,23,Survey,Social-Cultural,Lifestyle,1,Digital Commerce (O),Digital Commerce ,54.68
"I believe people will use digital commerce, companies, and platforms ____.",5,52,12,23,Survey,Social-Cultural,Lifestyle,1,Digital Commerce (O),Digital Commerce ,18.71
"I believe people will use public transportation less, if possible.",1,115,5,24,Survey,Social-Cultural,Transportation,1,Public Transport (O),Public Transport ,41.37
"I believe people will use public transportation less, if possible.",2,56,5,24,Survey,Social-Cultural,Transportation,1,Public Transport (O),Public Transport ,20.14
"I believe people will use public transportation less, if possible.",3,32,5,24,Survey,Social-Cultural,Transportation,1,Public Transport (O),Public Transport ,11.51
"I believe people will use public transportation less, if possible.",4,63,5,24,Survey,Social-Cultural,Transportation,1,Public Transport (O),Public Transport ,22.66
"I believe people will use public transportation less, if possible.",5,12,5,24,Survey,Social-Cultural,Transportation,1,Public Transport (O),Public Transport ,4.32
I believe people will use technology ____.,2,8,13,25,Survey,Social-Cultural,Work,1,Technology Use (O),Technology Use ,2.88
I believe people will use technology ____.,3,66,13,25,Survey,Social-Cultural,Work,1,Technology Use (O),Technology Use ,23.74
I believe people will use technology ____.,4,134,13,25,Survey,Social-Cultural,Work,1,Technology Use (O),Technology Use ,48.2
I believe people will use technology ____.,5,70,13,25,Survey,Social-Cultural,Work,1,Technology Use (O),Technology Use ,25.18
I believe people will value classroom education ____.,1,9,18,26,Survey,Cultural,Education,1,Classroom Ed (O),Classroom Ed ,3.24
I believe people will value classroom education ____.,2,29,18,26,Survey,Cultural,Education,1,Classroom Ed (O),Classroom Ed ,10.43
I believe people will value classroom education ____.,3,60,18,26,Survey,Cultural,Education,1,Classroom Ed (O),Classroom Ed ,21.58
I believe people will value classroom education ____.,4,104,18,26,Survey,Cultural,Education,1,Classroom Ed (O),Classroom Ed ,37.41
I believe people will value classroom education ____.,5,76,18,26,Survey,Cultural,Education,1,Classroom Ed (O),Classroom Ed ,27.34
I believe people will work harder to foster family and/or community ties.,1,22,8,27,Survey,Cultural,Well-being,1,Fam/Comm Ties (O),Fam/Comm Ties ,7.91
I believe people will work harder to foster family and/or community ties.,2,38,8,27,Survey,Cultural,Well-being,1,Fam/Comm Ties (O),Fam/Comm Ties ,13.67
I believe people will work harder to foster family and/or community ties.,3,48,8,27,Survey,Cultural,Well-being,1,Fam/Comm Ties (O),Fam/Comm Ties ,17.27
I believe people will work harder to foster family and/or community ties.,4,129,8,27,Survey,Cultural,Well-being,1,Fam/Comm Ties (O),Fam/Comm Ties ,46.4
I believe people will work harder to foster family and/or community ties.,5,41,8,27,Survey,Cultural,Well-being,1,Fam/Comm Ties (O),Fam/Comm Ties ,14.75
"I believe people will work more remotely, if possible.",1,15,11,28,Survey,Social-Cultural,Work,1,Work Remotely (O),Work Remotely ,5.4
"I believe people will work more remotely, if possible.",2,21,11,28,Survey,Social-Cultural,Work,1,Work Remotely (O),Work Remotely ,7.55
"I believe people will work more remotely, if possible.",3,42,11,28,Survey,Social-Cultural,Work,1,Work Remotely (O),Work Remotely ,15.11
"I believe people will work more remotely, if possible.",4,102,11,28,Survey,Social-Cultural,Work,1,Work Remotely (O),Work Remotely ,36.69
"I believe people will work more remotely, if possible.",5,98,11,28,Survey,Social-Cultural,Work,1,Work Remotely (O),Work Remotely ,35.25
The COVID-19 pandemic has greatly affected those closest to me (can include friends and family).,1,8,30,29,Closing,General,-,1,Greatly Affected Closest,NA,2.88
The COVID-19 pandemic has greatly affected those closest to me (can include friends and family).,2,14,30,29,Closing,General,-,1,Greatly Affected Closest,NA,5.04
The COVID-19 pandemic has greatly affected those closest to me (can include friends and family).,3,26,30,29,Closing,General,-,1,Greatly Affected Closest,NA,9.35
The COVID-19 pandemic has greatly affected those closest to me (can include friends and family).,4,101,30,29,Closing,General,-,1,Greatly Affected Closest,NA,36.33
The COVID-19 pandemic has greatly affected those closest to me (can include friends and family).,5,129,30,29,Closing,General,-,1,Greatly Affected Closest,NA,46.4
"Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I will be more climate conscious.",1,14,2,1,Survey,Policy,Climate,2,Climate Conscious (I),Climate Conscious ,5.04
"Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I will be more climate conscious.",2,12,2,1,Survey,Policy,Climate,2,Climate Conscious (I),Climate Conscious ,4.32
"Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I will be more climate conscious.",3,36,2,1,Survey,Policy,Climate,2,Climate Conscious (I),Climate Conscious ,12.95
"Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I will be more climate conscious.",4,55,2,1,Survey,Policy,Climate,2,Climate Conscious (I),Climate Conscious ,19.78
"Due to the evidence of environmental benefit during the pandemic (e.g. reduced pollution), I will be more climate conscious.",5,161,2,1,Survey,Policy,Climate,2,Climate Conscious (I),Climate Conscious ,57.91
I see myself as extroverted or outgoing.,1,46,29,2,Closing,General,-,2,Extroverted,NA,16.55
I see myself as extroverted or outgoing.,2,55,29,2,Closing,General,-,2,Extroverted,NA,19.78
I see myself as extroverted or outgoing.,3,66,29,2,Closing,General,-,2,Extroverted,NA,23.74
I see myself as extroverted or outgoing.,4,76,29,2,Closing,General,-,2,Extroverted,NA,27.34
I see myself as extroverted or outgoing.,5,35,29,2,Closing,General,-,2,Extroverted,NA,12.59
I see myself as introverted or reserved.,1,34,29,3,Closing,General,-,2,Introverted,NA,12.23
I see myself as introverted or reserved.,2,36,29,3,Closing,General,-,2,Introverted,NA,12.95
I see myself as introverted or reserved.,3,57,29,3,Closing,General,-,2,Introverted,NA,20.5
I see myself as introverted or reserved.,4,86,29,3,Closing,General,-,2,Introverted,NA,30.94
I see myself as introverted or reserved.,5,65,29,3,Closing,General,-,2,Introverted,NA,23.38
"I will avoid crowded areas more (e.g. concerts, theme parks).",1,47,4,4,Survey,Social-Cultural,Lifestyle,2,Avoid Crowds (I),Avoid Crowds ,16.91
"I will avoid crowded areas more (e.g. concerts, theme parks).",2,62,4,4,Survey,Social-Cultural,Lifestyle,2,Avoid Crowds (I),Avoid Crowds ,22.3
"I will avoid crowded areas more (e.g. concerts, theme parks).",3,46,4,4,Survey,Social-Cultural,Lifestyle,2,Avoid Crowds (I),Avoid Crowds ,16.55
"I will avoid crowded areas more (e.g. concerts, theme parks).",4,61,4,4,Survey,Social-Cultural,Lifestyle,2,Avoid Crowds (I),Avoid Crowds ,21.94
"I will avoid crowded areas more (e.g. concerts, theme parks).",5,62,4,4,Survey,Social-Cultural,Lifestyle,2,Avoid Crowds (I),Avoid Crowds ,22.3
I will be ____ globally aware (e.g. feel the importance of global connections and cooperation).,1,2,17,5,Survey,Social-Cultural,Cooperation,2,Globally Aware (I),Globally Aware ,0.72
I will be ____ globally aware (e.g. feel the importance of global connections and cooperation).,2,3,17,5,Survey,Social-Cultural,Cooperation,2,Globally Aware (I),Globally Aware ,1.08
I will be ____ globally aware (e.g. feel the importance of global connections and cooperation).,3,78,17,5,Survey,Social-Cultural,Cooperation,2,Globally Aware (I),Globally Aware ,28.06
I will be ____ globally aware (e.g. feel the importance of global connections and cooperation).,4,119,17,5,Survey,Social-Cultural,Cooperation,2,Globally Aware (I),Globally Aware ,42.81
I will be ____ globally aware (e.g. feel the importance of global connections and cooperation).,5,76,17,5,Survey,Social-Cultural,Cooperation,2,Globally Aware (I),Globally Aware ,27.34
I will be ____ trustful of medical professionals.,1,3,24,6,Survey,Policy,Health,2,Trust Doctors (I),Trust Doctors ,1.08
I will be ____ trustful of medical professionals.,2,8,24,6,Survey,Policy,Health,2,Trust Doctors (I),Trust Doctors ,2.88
I will be ____ trustful of medical professionals.,3,131,24,6,Survey,Policy,Health,2,Trust Doctors (I),Trust Doctors ,47.12
I will be ____ trustful of medical professionals.,4,78,24,6,Survey,Policy,Health,2,Trust Doctors (I),Trust Doctors ,28.06
I will be ____ trustful of medical professionals.,5,58,24,6,Survey,Policy,Health,2,Trust Doctors (I),Trust Doctors ,20.86
"I will be more comfortable acting independently (e.g. spending time alone, practicing personal hobbies or at-home activities).",1,20,10,7,Survey,Cultural,Well-being,2,Independent (I),Independent ,7.19
"I will be more comfortable acting independently (e.g. spending time alone, practicing personal hobbies or at-home activities).",2,25,10,7,Survey,Cultural,Well-being,2,Independent (I),Independent ,8.99
"I will be more comfortable acting independently (e.g. spending time alone, practicing personal hobbies or at-home activities).",3,55,10,7,Survey,Cultural,Well-being,2,Independent (I),Independent ,19.78
"I will be more comfortable acting independently (e.g. spending time alone, practicing personal hobbies or at-home activities).",4,78,10,7,Survey,Cultural,Well-being,2,Independent (I),Independent ,28.06
"I will be more comfortable acting independently (e.g. spending time alone, practicing personal hobbies or at-home activities).",5,100,10,7,Survey,Cultural,Well-being,2,Independent (I),Independent ,35.97
"I will be more politically conservative (e.g. vote for healthcare marketplace, less government aid).",1,140,15,8,Survey,Political,-,2,Conservative (I),Conservative ,50.36
"I will be more politically conservative (e.g. vote for healthcare marketplace, less government aid).",2,29,15,8,Survey,Political,-,2,Conservative (I),Conservative ,10.43
"I will be more politically conservative (e.g. vote for healthcare marketplace, less government aid).",3,60,15,8,Survey,Political,-,2,Conservative (I),Conservative ,21.58
"I will be more politically conservative (e.g. vote for healthcare marketplace, less government aid).",4,14,15,8,Survey,Political,-,2,Conservative (I),Conservative ,5.04
"I will be more politically conservative (e.g. vote for healthcare marketplace, less government aid).",5,19,15,8,Survey,Political,-,2,Conservative (I),Conservative ,6.83
"I will be more politically conservative (e.g. vote for healthcare marketplace, less government aid).",NA,16,15,8,Survey,Political,-,2,Conservative (I),Conservative ,5.76
"I will be more politically liberal (e.g. vote for universal healthcare, more government aid).",1,20,14,9,Survey,Political,-,2,Liberal (I),Liberal ,7.19
"I will be more politically liberal (e.g. vote for universal healthcare, more government aid).",2,9,14,9,Survey,Political,-,2,Liberal (I),Liberal ,3.24
"I will be more politically liberal (e.g. vote for universal healthcare, more government aid).",3,59,14,9,Survey,Political,-,2,Liberal (I),Liberal ,21.22
"I will be more politically liberal (e.g. vote for universal healthcare, more government aid).",4,51,14,9,Survey,Political,-,2,Liberal (I),Liberal ,18.35
"I will be more politically liberal (e.g. vote for universal healthcare, more government aid).",5,116,14,9,Survey,Political,-,2,Liberal (I),Liberal ,41.73
"I will be more politically liberal (e.g. vote for universal healthcare, more government aid).",NA,23,14,9,Survey,Political,-,2,Liberal (I),Liberal ,8.27
I will carry a mask and/or hand sanitizer around with me as a precaution.,1,31,16,10,Survey,Social-Cultural,Hygiene,2,Carry Masks (I),Carry Masks ,11.15
I will carry a mask and/or hand sanitizer around with me as a precaution.,2,26,16,10,Survey,Social-Cultural,Hygiene,2,Carry Masks (I),Carry Masks ,9.35
I will carry a mask and/or hand sanitizer around with me as a precaution.,3,35,16,10,Survey,Social-Cultural,Hygiene,2,Carry Masks (I),Carry Masks ,12.59
I will carry a mask and/or hand sanitizer around with me as a precaution.,4,92,16,10,Survey,Social-Cultural,Hygiene,2,Carry Masks (I),Carry Masks ,33.09
